# Generation	mean_fitness
1483	30.801
1484	30.801
1485	30.801
1486	30.801
1487	30.801
1488	30.801
1489	30.801
1490	30.801
1491	30.801
1492	30.801
1493	30.801
1494	30.801
1495	30.801
1496	30.801
1497	30.801
1498	30.801
1499	30.801
1500	30.801
1501	30.801
1502	30.801
1503	30.801
1504	30.801
1505	30.801
1506	30.801
1507	30.801
1508	30.801
1509	30.801
1510	30.801
1511	30.801
1512	30.801
1513	30.801
1514	30.801
1515	30.801
1516	30.801
1517	30.801
1518	30.801
1519	30.801
1520	30.801
1521	30.801
1522	30.801
1523	30.801
1524	30.801
1525	30.801
1526	30.801
1527	30.801
1528	30.801
1529	30.801
1530	30.801
1531	30.801
1532	30.801
1533	30.801
1534	30.801
1535	30.801
1536	30.801
1537	30.801
1538	30.801
1539	30.801
1540	30.801
1541	30.801
1542	30.801
1543	30.801
1544	30.801
1545	30.801
1546	30.801
1547	30.801
1548	30.801
1549	30.801
1550	30.801
1551	30.801
1552	30.801
1553	30.801
1554	30.801
1555	30.801
1556	30.801
1557	30.801
1558	30.801
1559	30.801
1560	30.801
1561	30.801
1562	30.801
1563	30.801
1564	30.801
1565	30.801
1566	30.801
1567	30.801
1568	30.801
1569	30.801
1570	30.801
1571	30.801
1572	30.801
1573	30.801
1574	30.801
1575	30.801
1576	30.801
1577	30.801
1578	30.801
1579	30.801
1580	30.801
1581	30.801
1582	30.801
1583	30.801
1584	30.801
1585	30.801
1586	30.801
1587	30.801
1588	30.801
1589	30.801
1590	30.801
1591	30.801
1592	30.801
1593	30.801
1594	30.801
1595	30.801
1596	30.801
1597	30.801
1598	30.801
1599	30.801
1600	30.801
1601	30.801
1602	30.801
1603	30.801
1604	30.801
1605	30.801
1606	30.801
1607	30.801
1608	30.801
1609	30.801
1610	30.801
1611	30.801
1612	30.801
1613	30.801
1614	30.801
1615	30.801
1616	30.801
1617	30.801
1618	30.801
1619	30.801
1620	30.801
1621	30.801
1622	30.801
1623	30.801
1624	30.801
1625	30.801
1626	30.801
1627	30.801
1628	30.801
1629	30.801
1630	30.801
1631	30.801
1632	30.801
1633	30.801
1634	30.801
1635	30.801
1636	30.801
1637	30.801
1638	30.801
1639	30.801
1640	30.801
1641	30.801
1642	30.801
1643	30.801
1644	30.801
1645	30.801
1646	30.801
1647	30.801
1648	30.801
1649	30.801
1650	30.801
1651	30.801
1652	30.801
1653	30.801
1654	30.801
1655	30.801
1656	30.801
1657	30.801
1658	30.801
1659	30.801
1660	30.801
1661	30.801
1662	30.801
1663	30.801
1664	30.801
1665	30.801
1666	30.801
1667	30.801
1668	30.801
1669	30.801
1670	30.801
1671	30.801
1672	30.801
1673	30.801
1674	30.801
1675	30.801
1676	30.801
1677	30.801
1678	30.801
1679	30.801
1680	30.801
1681	30.801
1682	30.801
1683	30.801
1684	30.801
1685	30.801
1686	30.801
1687	30.801
1688	30.801
1689	30.801
1690	30.801
1691	30.801
1692	30.801
1693	30.801
1694	30.801
1695	30.801
1696	30.801
1697	30.801
1698	30.801
1699	30.801
1700	30.801
1701	30.801
1702	30.801
1703	30.801
1704	30.801
1705	30.801
1706	30.801
1707	30.801
1708	30.801
1709	30.801
1710	30.801
1711	30.801
1712	30.801
1713	30.801
1714	30.801
1715	30.801
1716	30.801
1717	30.801
1718	30.801
1719	30.801
1720	30.801
1721	30.801
1722	30.801
1723	30.801
1724	30.801
1725	30.801
1726	30.801
1727	30.801
1728	30.801
1729	30.801
1730	30.801
1731	30.801
1732	30.801
1733	30.801
1734	30.801
1735	30.801
1736	30.801
1737	30.801
1738	30.801
1739	30.801
1740	30.801
1741	30.801
1742	30.801
1743	30.801
1744	30.801
1745	30.801
1746	30.801
1747	30.801
1748	30.801
1749	30.801
1750	30.801
1751	30.801
1752	30.801
1753	30.801
1754	30.801
1755	30.801
1756	30.801
1757	30.801
1758	30.801
1759	30.801
1760	30.801
1761	30.801
1762	30.801
1763	30.801
1764	30.801
1765	30.801
1766	30.801
1767	30.801
1768	30.801
1769	30.801
1770	30.801
1771	30.801
1772	30.801
1773	30.801
1774	30.801
1775	30.801
1776	30.801
1777	30.801
1778	30.801
1779	30.801
1780	30.801
1781	30.801
1782	30.801
1783	30.801
1784	30.801
1785	30.801
1786	30.801
1787	30.801
1788	30.801
1789	30.801
1790	30.801
1791	30.801
1792	30.801
1793	30.801
1794	30.801
1795	30.801
1796	30.801
1797	30.801
1798	30.801
1799	30.801
1800	30.801
1801	30.801
1802	30.801
1803	30.801
1804	30.801
1805	30.801
1806	30.801
1807	30.801
1808	30.801
1809	30.801
1810	30.801
1811	30.801
1812	30.801
1813	30.801
1814	30.801
1815	30.801
1816	30.801
1817	30.801
